name,url,language,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
apollo-server,https://github.com/apollographql/apollo-server,TypeScript,57,0,418,6,20.3,769,353,182,1.0,7069,0.73764
jellyfin-web,https://github.com/jellyfin/jellyfin-web,JavaScript,102,0,792,1,83.2,12,468,371,1.7,6730,0.73695
reaction,https://github.com/reactioncommerce/reaction,JavaScript,89,0,192,7,15.2,19,35,27,1.8,31331,0.73576
zigbee2mqtt,https://github.com/Koenkk/zigbee2mqtt,JavaScript,40,0,297,3,21.4,18,1199,1021,4.8,2588,0.73432
metamask-extension,https://github.com/MetaMask/metamask-extension,JavaScript,66,0,224,3,32.0,29,1023,760,2.5,3621,0.73293
joplin,https://github.com/laurent22/joplin,JavaScript,51,0,316,4,32.0,77,592,439,3.3,1515,0.7327
frontend,https://github.com/home-assistant/frontend,TypeScript,67,0,331,6,42.8,117,1015,716,1.8,497,0.73081
p5.js,https://github.com/processing/p5.js,JavaScript,96,0,479,7,15.9,7,179,155,2.7,1777,0.73049
mapbox-gl-js,https://github.com/mapbox/mapbox-gl-js,JavaScript,95,0,336,6,8.1,28,354,202,1.6,3443,0.72848
shields,https://github.com/badges/shields,JavaScript,96,0,414,6,19.2,1,401,349,2.1,7782,0.72831
openui5,https://github.com/SAP/openui5,JavaScript,86,0,457,2,114.9,99,144,99,2.4,2072,0.7275
swagger-ui,https://github.com/swagger-api/swagger-ui,JavaScript,115,1,463,7,8.8,35,470,276,0.9,4162,0.72695
node-postgres,https://github.com/brianc/node-postgres,JavaScript,125,0,273,8,3.4,30,160,94,2.5,2672,0.72576
fxa,https://github.com/mozilla/fxa,JavaScript,107,0,163,3,32.8,88,1329,939,0.7,8465,0.72417
stylelint,https://github.com/stylelint/stylelint,JavaScript,74,0,308,7,7.1,17,170,115,1.5,8577,0.72315
appium,https://github.com/appium/appium,JavaScript,97,0,342,9,3.7,8,265,243,2.8,2136,0.72293
redux,https://github.com/reduxjs/redux,TypeScript,68,0,847,10,4.0,12,102,85,2.4,1205,0.72289
react-admin,https://github.com/marmelab/react-admin,TypeScript,55,0,429,5,32.0,51,516,440,1.5,1125,0.72261
pixi.js,https://github.com/pixijs/pixi.js,TypeScript,97,0,402,7,7.2,20,287,225,2.5,906,0.7222
nuxt.js,https://github.com/nuxt/nuxt.js,JavaScript,51,0,293,5,12.2,20,680,526,2.2,3102,0.72198
