index,name,url,language,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
842,vscode-cpptools,https://github.com/microsoft/vscode-cpptools,TypeScript,3827,58,0,69,3,9.2,36,3490,3055,0.7,415,0.62619
267,flutterfire,https://github.com/FirebaseExtended/flutterfire,Dart,3716,45,0,289,3,10.2,6,1107,764,2.9,84,0.62612
415,blocks,https://github.com/blocks/blocks,JavaScript,3827,24,7,29,11,4.9,52,16,0,1.7,509060,0.62561
1177,cucumber-js,https://github.com/cucumber/cucumber-js,TypeScript,4112,117,0,142,7,3.6,12,109,86,1.5,182,0.62351
809,telescope,https://github.com/laravel/telescope,PHP,3871,29,0,116,8,2.8,24,57,57,1.5,1067,0.62298
1322,OCRmyPDF,https://github.com/jbarlow83/OCRmyPDF,Python,3652,94,0,49,5,8.3,23,82,67,2.7,356,0.62295
1385,laravel-backup,https://github.com/spatie/laravel-backup,PHP,4269,72,0,148,9,1.8,22,37,37,1.4,349,0.62238
430,futures-rs,https://github.com/rust-lang/futures-rs,Rust,3612,59,0,265,5,3.7,8,233,97,0.7,908,0.62217
642,php-amqplib,https://github.com/php-amqplib/php-amqplib,PHP,3673,126,0,188,10,0.9,3,27,24,3.0,289,0.6215
158,omim,https://github.com/mapsme/omim,C++,4257,65,0,208,6,46.0,1,346,298,1.3,93,0.62034
265,reqwest,https://github.com/seanmonstar/reqwest,Rust,3544,55,0,180,4,2.4,10,124,74,1.5,1453,0.61757
197,janusgraph,https://github.com/JanusGraph/janusgraph,Java,3758,108,0,160,7,4.0,6,176,105,1.6,145,0.61748
665,tree-sitter,https://github.com/tree-sitter/tree-sitter,Rust,3642,87,0,92,5,7.4,12,133,77,1.7,358,0.61653
1290,pgx,https://github.com/jackc/pgx,Go,3575,95,0,137,6,2.8,6,76,46,2.6,335,0.61627
1083,draft,https://github.com/cplusplus/draft,TeX,4172,114,1,139,6,14.7,3,353,181,1.0,385,0.61569
1470,trio,https://github.com/python-trio/trio,Python,3643,49,0,115,5,11.8,5,132,95,3.0,274,0.61542
24,patroni,https://github.com/zalando/patroni,Python,3706,71,1,110,7,2.8,4,88,52,3.2,1006,0.61479
883,ProxyManager,https://github.com/Ocramius/ProxyManager,PHP,4120,95,0,49,11,2.2,10,68,57,2.1,436,0.6146
1276,bitcore,https://github.com/bitpay/bitcore,JavaScript,3835,92,0,213,2,12.6,2,81,53,0.7,5955,0.61374
1403,webiny-js,https://github.com/webiny/webiny-js,TypeScript,4077,37,1,44,4,54.8,855,253,185,1.4,721,0.61316
257,onnxruntime,https://github.com/microsoft/onnxruntime,C++,3894,26,0,245,1,40.8,13,1067,791,2.2,161,0.61245
818,lettuce-core,https://github.com/lettuce-io/lettuce-core,Java,3706,119,0,75,7,4.8,12,154,125,2.4,70,0.61141
943,shotcut,https://github.com/mltframework/shotcut,C++,3693,112,0,42,5,15.0,18,130,107,1.4,273,0.61135
