name,url,language,license,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
galera,https://github.com/codership/galera,C++,"License(name=""Other"")",335,157,1,37,6,1.4,3,12,3,1.2,436,0.50602
analytics-android,https://github.com/segmentio/analytics-android,Java,"License(name=""MIT License"")",331,95,2,60,8,1.6,8,30,21,1.5,27,0.50556
jigasi,https://github.com/jitsi/jigasi,Java,"License(name=""Apache License 2.0"")",325,79,0,33,5,1.6,26,23,16,0.9,43,0.50452
yaml,https://github.com/eemeli/yaml,JavaScript,"License(name=""ISC License"")",333,37,1,12,6,4.5,9,15,8,2.9,325,0.50452
instructure-ui,https://github.com/instructure/instructure-ui,JavaScript,"License(name=""Other"")",323,64,0,91,4,3.4,2,256,243,0.2,46,0.50418
Simple-Contacts,https://github.com/SimpleMobileTools/Simple-Contacts,Kotlin,"License(name=""GNU General Public License v3.0"")",330,38,0,53,2,7.0,21,38,18,1.9,42,0.5028
Userge,https://github.com/UsergeTeam/Userge,Python,"License(name=""GNU General Public License v3.0"")",334,11,0,24,5,9.1,10,70,63,1.1,169,0.5017
community-platform,https://github.com/ONEARMY/community-platform,TypeScript,"License(name=""MIT License"")",334,28,0,50,7,7.0,6,47,23,0.9,31,0.50145
Benchmark,https://github.com/OWASP/Benchmark,Java,"License(name=""GNU General Public License v2.0"")",328,71,0,43,7,1.7,1,9,6,1.1,230,0.49917
jhipster-core,https://github.com/jhipster/jhipster-core,JavaScript,"License(name=""Apache License 2.0"")",334,59,1,40,8,2.3,8,4,3,0.5,398,0.49865
EWZRecaptchaBundle,https://github.com/excelwebzone/EWZRecaptchaBundle,PHP,"License(name=""MIT License"")",325,121,1,89,9,0.4,9,16,11,1.0,12,0.49688
erlang_ls,https://github.com/erlang-ls/erlang_ls,Erlang,"License(name=""Apache License 2.0"")",325,32,0,32,7,8.8,11,111,92,1.0,6,0.4958
cordova-plugin-media,https://github.com/apache/cordova-plugin-media,JavaScript,"License(name=""Apache License 2.0"")",335,93,2,82,9,0.2,8,16,3,1.3,46,0.49538
rednotebook,https://github.com/jendrikseipp/rednotebook,Python,"License(name=""GNU General Public License v2.0"")",328,232,0,33,4,1.7,5,15,8,1.5,81,0.49514
dtsgenerator,https://github.com/horiuchi/dtsgenerator,TypeScript,,326,76,0,32,5,2.6,11,32,23,1.2,24,0.49449
node-tail,https://github.com/lucagrulla/node-tail,JavaScript,"License(name=""MIT License"")",329,117,0,22,9,0.7,4,14,12,1.1,49,0.49243
simplemonitor,https://github.com/jamesoff/simplemonitor,Python,"License(name=""BSD 3-Clause ""New"" or ""Revised"" License"")",324,154,0,48,7,6.1,4,34,28,2.6,0,0.49145
endpoints4s,https://github.com/endpoints4s/endpoints4s,Scala,"License(name=""MIT License"")",325,60,0,47,6,4.9,7,76,64,1.3,3,0.48963
Pinetime,https://github.com/JF002/Pinetime,C,"License(name=""GNU General Public License v3.0"")",330,14,0,34,4,6.6,19,84,45,3.2,8,0.48903
kernel_gateway,https://github.com/jupyter/kernel_gateway,Python,"License(name=""Other"")",331,65,4,36,10,0.3,3,2,2,4.5,155,0.48796
OpenBCI_GUI,https://github.com/OpenBCI/OpenBCI_GUI,HTML,"License(name=""MIT License"")",337,56,1,27,3,13.8,6,56,48,1.1,76,0.48703
tropy,https://github.com/tropy/tropy,JavaScript,"License(name=""Other"")",325,64,0,10,3,10.6,14,44,18,0.3,284,0.48584
mockttp,https://github.com/httptoolkit/mockttp,TypeScript,"License(name=""MIT License"")",332,52,0,14,5,3.4,15,3,2,6.3,14,0.4849
agollo,https://github.com/zouyx/agollo,Go,"License(name=""Apache License 2.0"")",331,44,0,22,4,2.2,14,20,19,2.4,34,0.4845
wireguard-android,https://github.com/WireGuard/wireguard-android,Java,"License(name=""Apache License 2.0"")",324,43,0,20,7,7.9,16,3,2,9.7,0,0.48449
defects4j,https://github.com/rjust/defects4j,Perl,"License(name=""Other"")",330,70,0,20,8,2.2,2,57,48,1.4,22,0.48418
libminizinc,https://github.com/MiniZinc/libminizinc,C++,"License(name=""Mozilla Public License 2.0"")",324,104,2,44,5,10.9,5,32,18,1.6,11,0.48402
webdriver_manager,https://github.com/SergeyPirogov/webdriver_manager,Python,"License(name=""Apache License 2.0"")",323,50,0,23,6,1.1,12,17,17,2.0,26,0.48377
RadioLib,https://github.com/jgromes/RadioLib,C++,"License(name=""MIT License"")",323,35,1,14,5,10.2,20,32,25,3.3,12,0.48363
kak-lsp,https://github.com/kak-lsp/kak-lsp,Rust,"License(name=""Other"")",334,34,0,57,5,2.0,2,38,20,1.7,47,0.4835
yubikey-manager,https://github.com/Yubico/yubikey-manager,Python,"License(name=""BSD 2-Clause ""Simplified"" License"")",333,64,0,19,5,1.0,2,24,10,2.3,142,0.48292
office-js,https://github.com/OfficeDev/office-js,JavaScript,"License(name=""Other"")",326,50,1,17,1,0.1,75,236,96,3.3,229,0.48251
svd2rust,https://github.com/rust-embedded/svd2rust,Rust,"License(name=""Other"")",330,52,2,63,5,1.3,10,11,6,3.2,27,0.48147
pulledpork,https://github.com/shirkdog/pulledpork,Perl,"License(name=""GNU General Public License v2.0"")",334,142,0,33,8,0.3,1,10,7,4.3,8,0.48079
ionic-docs,https://github.com/ionic-team/ionic-docs,TypeScript,"License(name=""Apache License 2.0"")",333,41,1,141,3,7.2,0,102,53,0.7,102,0.48062
nollup,https://github.com/PepsRyuu/nollup,JavaScript,"License(name=""MIT License"")",329,36,1,14,6,1.9,15,28,17,4.2,22,0.47887
gotrue-js,https://github.com/netlify/gotrue-js,JavaScript,"License(name=""MIT License"")",331,57,0,26,8,3.4,3,110,103,0.7,10,0.47854
einsteinpy,https://github.com/einsteinpy/einsteinpy,Python,"License(name=""MIT License"")",326,24,0,62,8,2.5,2,56,30,3.0,3,0.47748
mapview,https://github.com/r-spatial/mapview,R,"License(name=""GNU General Public License v3.0"")",335,66,1,25,8,3.0,0,18,10,3.5,45,0.47692
mima,https://github.com/lightbend/mima,Scala,"License(name=""Apache License 2.0"")",330,126,0,39,5,3.0,6,27,26,0.5,13,0.4761
cpp-driver,https://github.com/datastax/cpp-driver,C++,"License(name=""Apache License 2.0"")",328,90,2,75,5,0.6,3,6,4,0.3,646,0.47574
2019-ncov-japan,https://github.com/swsoyee/2019-ncov-japan,R,"License(name=""MIT License"")",335,12,0,12,4,199.2,0,2527,2527,0.0,35,0.47546
UnityModules,https://github.com/leapmotion/UnityModules,C#,"License(name=""Apache License 2.0"")",323,60,0,40,2,2.3,5,25,17,0.7,266,0.47481
djangogirls,https://github.com/DjangoGirls/djangogirls,HTML,"License(name=""Other"")",332,81,0,85,8,0.9,0,15,13,0.3,67,0.47405
OneSignal-Website-SDK,https://github.com/OneSignal/OneSignal-Website-SDK,TypeScript,"License(name=""Other"")",331,71,0,16,7,5.7,10,47,30,0.9,6,0.47297
rbfx,https://github.com/rokups/rbfx,C++,"License(name=""MIT License"")",331,122,0,192,5,12.2,0,32,18,1.2,0,0.47281
ojAlgo,https://github.com/optimatika/ojAlgo,Java,"License(name=""MIT License"")",333,89,1,20,5,2.1,1,24,24,2.1,103,0.47278
fiber,https://github.com/boostorg/fiber,C++,,330,121,0,33,4,0.4,3,8,7,5.4,8,0.4722
sockethub,https://github.com/sockethub/sockethub,JavaScript,"License(name=""GNU Lesser General Public License v3.0"")",327,99,0,19,6,2.1,1,45,30,0.9,53,0.47176
pod-template,https://github.com/CocoaPods/pod-template,Ruby,"License(name=""Other"")",331,95,2,65,10,0.1,0,5,4,1.0,236,0.47098
trace-context,https://github.com/w3c/trace-context,Python,"License(name=""Other"")",327,47,1,50,7,0.6,0,45,17,1.5,134,0.46984
ExpressLRS,https://github.com/AlessandroAU/ExpressLRS,C++,,327,28,0,29,2,8.1,2,157,126,1.9,43,0.46913
smithy,https://github.com/awslabs/smithy,Java,"License(name=""Apache License 2.0"")",335,22,0,18,5,9.9,11,109,100,0.2,35,0.46752
launcher,https://github.com/kolide/launcher,Go,"License(name=""MIT License"")",334,45,0,24,6,1.7,11,39,30,0.7,22,0.46751
open-sauced,https://github.com/open-sauced/open-sauced,JavaScript,"License(name=""MIT License"")",332,52,1,38,5,7.7,25,42,36,0.9,3,0.4675
rosserial,https://github.com/ros-drivers/rosserial,C++,,335,117,5,84,6,0.7,3,27,5,0.9,78,0.46603
react-dropdown-tree-select,https://github.com/dowjones/react-dropdown-tree-select,JavaScript,"License(name=""MIT License"")",332,45,3,28,9,0.8,11,26,16,1.6,32,0.46583
gradle-ospackage-plugin,https://github.com/nebula-plugins/gradle-ospackage-plugin,Groovy,"License(name=""Apache License 2.0"")",328,118,0,71,5,0.7,9,13,3,0.8,8,0.46556
